,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
2709,aturan semua di tutup onlen pedagang apapun seluruh indonesia pada ambruk akibat online banyak barang impor yang harga nya tidak masuk akal,aturan semua di tutup onlen pedagang apapun seluruh indonesia pada ambruk akibat online banyak barang impor yang harga nya tidak masuk akal,"['aturan', 'semua', 'di', 'tutup', 'onlen', 'pedagang', 'apapun', 'seluruh', 'indonesia', 'pada', 'ambruk', 'akibat', 'online', 'banyak', 'barang', 'impor', 'yang', 'harga', 'nya', 'tidak', 'masuk', 'akal']",atur semua di tutup onlen dagang apa seluruh indonesia pada ambruk akibat online banyak barang impor yang harga nya tidak masuk akal,-18,negatif
2710,hidup shoope,hidup shoope,"['hidup', 'shoope']",hidup shoope,2,positif
2711,meskipun tiktokshop di tutup tetapi kan masih ada shopee sama lazada,meskipun tiktokshop di tutup tetapi kan masih ada shopee sama lazada,"['meskipun', 'tiktokshop', 'di', 'tutup', 'tetapi', 'kan', 'masih', 'ada', 'shopee', 'sama', 'lazada']",meski tiktokshop di tutup tetapi kan masih ada shopee sama lazada,3,positif
2712,tidak ngaruh masih banyak aplikasi belanja online yang bisa dipakai,tidak ngaruh masih banyak aplikasi belanja online yang bisa dipakai,"['tidak', 'ngaruh', 'masih', 'banyak', 'aplikasi', 'belanja', 'online', 'yang', 'bisa', 'dipakai']",tidak ngaruh masih banyak aplikasi belanja online yang bisa pakai,-9,negatif
2713,aneh tapi bingung kenapa yang lain tidak di tutup juga lapangan kerjaan susah biar tambah kismin lagi masyarakat,aneh tapi bingung kenapa yang lain tidak di tutup juga lapangan pekerjaan susah biar tambah kismin lagi masyarakat,"['aneh', 'tapi', 'bingung', 'kenapa', 'yang', 'lain', 'tidak', 'di', 'tutup', 'juga', 'lapangan', 'pekerjaan', 'susah', 'biar', 'tambah', 'kismin', 'lagi', 'masyarakat']",aneh tapi bingung kenapa yang lain tidak di tutup juga lapang kerja susah biar tambah kismin lagi masyarakat,-9,negatif
2714,point itu produk impor murah karena daya produksiny barang banyak sedangkan produk local daya produksinya barang g bnyak jadi produk impor berani kasih harga d bawah standart sampai paling murah akibatnya produk local kalah yg perlu d garis bawahi tiktok itu milik negara yg daya produksi barang tinggi china maka bisa ja mereka menaikan trend barang produk dari negara mereka soalnya mereka bisa ngatur alogaritma tiktok maka perlu d regualasi sosial media tiktok dan e commer shop harus d pisah,point itu produk impor murah karena daya produksiny barang banyak sedangkan produk local daya produksinya barang enggak banyak jadi produk impor berani kasih harga di bawah standart sampai paling murah akibatnya produk local kalah yang perlu di garis bawahi tiktok itu milik negara yang daya produksi barang tinggi china maka bisa saja mereka menaikan trend barang produk dari negara mereka soalnya mereka bisa mengatur alogaritma tiktok maka perlu di regualasi sosial media tiktok dan e commer shop harus di pisah,"['point', 'itu', 'produk', 'impor', 'murah', 'karena', 'daya', 'produksiny', 'barang', 'banyak', 'sedangkan', 'produk', 'local', 'daya', 'produksinya', 'barang', 'enggak', 'banyak', 'jadi', 'produk', 'impor', 'berani', 'kasih', 'harga', 'di', 'bawah', 'standart', 'sampai', 'paling', 'murah', 'akibatnya', 'produk', 'local', 'kalah', 'yang', 'perlu', 'di', 'garis', 'bawahi', 'tiktok', 'itu', 'milik', 'negara', 'yang', 'daya', 'produksi', 'barang', 'tinggi', 'china', 'maka', 'bisa', 'saja', 'mereka', 'menaikan', 'trend', 'barang', 'produk', 'dari', 'negara', 'mereka', 'soalnya', 'mereka', 'bisa', 'mengatur', 'alogaritma', 'tiktok', 'maka', 'perlu', 'di', 'regualasi', 'sosial', 'media', 'tiktok', 'dan', 'e', 'commer', 'shop', 'harus', 'di', 'pisah']",point itu produk impor murah karena daya produksiny barang banyak sedang produk local daya produksi barang enggak banyak jadi produk impor berani kasih harga di bawah standart sampai paling murah akibat produk local kalah yang perlu di garis bawah tiktok itu milik negara yang daya produksi barang tinggi china maka bisa saja mereka naik trend barang produk dari negara mereka soal mereka bisa atur alogaritma tiktok maka perlu di regualasi sosial media tiktok dan e commer shop harus di pisah,14,positif
2715,ngimpi lo sanusi,mimpi lo sanusi,"['mimpi', 'lo', 'sanusi']",mimpi lo sanusi,2,positif
2716,kembali lagi ke zaman batu,kembali lagi ke zaman batu,"['kembali', 'lagi', 'ke', 'zaman', 'batu']",kembali lagi ke zaman batu,-1,negatif
2717,alhamdulillah semoga apl olshop yang lain juga di perhatikan dan ditindak utnuk yg terbaik,alhamdulillah semoga apl olshop yang lain juga di perhatikan dan ditindak utnuk yang terbaik,"['alhamdulillah', 'semoga', 'apl', 'olshop', 'yang', 'lain', 'juga', 'di', 'perhatikan', 'dan', 'ditindak', 'utnuk', 'yang', 'terbaik']",alhamdulillah moga apl olshop yang lain juga di perhati dan tindak utnuk yang baik,-5,negatif
2718,alhamduliah makin banyak yang nganggur,alhamduliah makin banyak yang nganggur,"['alhamduliah', 'makin', 'banyak', 'yang', 'nganggur']",alhamduliah makin banyak yang nganggur,-3,negatif
2719,harus ada biar orang kayak kamu pinjol juga,harus ada biar orang kayak kamu pinjol juga,"['harus', 'ada', 'biar', 'orang', 'kayak', 'kamu', 'pinjol', 'juga']",harus ada biar orang kayak kamu pinjol juga,-3,negatif
2720,pemilu wajib damai oh begitu,pemilu wajib damai oh begitu,"['pemilu', 'wajib', 'damai', 'oh', 'begitu']",milu wajib damai oh begitu,-2,negatif
2721,percuma saja tiktok shop ditutup kami juga pindah ya keranjang oren,percuma saja tiktok shop ditutup kami juga pindah ya keranjang oren,"['percuma', 'saja', 'tiktok', 'shop', 'ditutup', 'kami', 'juga', 'pindah', 'ya', 'keranjang', 'oren']",percuma saja tiktok shop tutup kami juga pindah ya keranjang oren,4,positif
2722,jujur dengan adanya tiktok kami yang tidak sehat seperti umumnya banyak terbantu ekonomi dari tiktok tapi tiktok ditutup kita harus ikhtiar kembali melalui media online lainnyakrn belum tentu bisa bekerja dengan umunya pedagang offline atau pekerja,jujur dengan adanya tiktok kami yang tidak sehat seperti umumnya banyak terbantu ekonomi dari tiktok tapi tiktok ditutup kita harus ikhtiar kembali melalui media online lainnyakrn belum tentu bisa bekerja dengan umunya pedagang offline atau pekerja,"['jujur', 'dengan', 'adanya', 'tiktok', 'kami', 'yang', 'tidak', 'sehat', 'seperti', 'umumnya', 'banyak', 'terbantu', 'ekonomi', 'dari', 'tiktok', 'tapi', 'tiktok', 'ditutup', 'kita', 'harus', 'ikhtiar', 'kembali', 'melalui', 'media', 'online', 'lainnyakrn', 'belum', 'tentu', 'bisa', 'bekerja', 'dengan', 'umunya', 'pedagang', 'offline', 'atau', 'pekerja']",jujur dengan ada tiktok kami yang tidak sehat seperti umum banyak bantu ekonomi dari tiktok tapi tiktok tutup kita harus ikhtiar kembali lalu media online lainnyakrn belum tentu bisa kerja dengan umu dagang offline atau kerja,5,positif
2723,pantesan saya tidak bisa belanja dintiktok lagi sedih banget,pantesan saya tidak bisa belanja dintiktok lagi sedih banget,"['pantesan', 'saya', 'tidak', 'bisa', 'belanja', 'dintiktok', 'lagi', 'sedih', 'banget']",pantesan saya tidak bisa belanja dintiktok lagi sedih banget,-15,negatif
2724,masalahnya yang jual itu produsen ka jadi bikin rugi ke distributor sedangkan distributor mana bisa harganya bersaing am produsen itu aja udah ngelanggar etika dalam berbisnis yang biasanya b to b ikut ikutan b to c ya mati harganya,masalahnya yang jual itu produsen kak jadi bikin rugi ke distributor sedangkan distributor mana bisa harganya bersaing sama produsen itu saja sudah ngelanggar etika dalam berbisnis yang biasanya b tapi b ikut ikutan b tapi sih ya mati harganya,"['masalahnya', 'yang', 'jual', 'itu', 'produsen', 'kak', 'jadi', 'bikin', 'rugi', 'ke', 'distributor', 'sedangkan', 'distributor', 'mana', 'bisa', 'harganya', 'bersaing', 'sama', 'produsen', 'itu', 'saja', 'sudah', 'ngelanggar', 'etika', 'dalam', 'berbisnis', 'yang', 'biasanya', 'b', 'tapi', 'b', 'ikut', 'ikutan', 'b', 'tapi', 'sih', 'ya', 'mati', 'harganya']",masalah yang jual itu produsen kak jadi bikin rugi ke distributor sedang distributor mana bisa harga saing sama produsen itu saja sudah ngelanggar etika dalam bisnis yang biasa b tapi b ikut ikut b tapi sih ya mati harga,-2,negatif
2726,yang tidak boleh itu harus nya artis publik pigur boleh pun harusnya kena kan pajak yang besar dari laba bersih kalau penjual kecil free ada penjualan laba bersih dibawah jt per hari biar kan free pajak kalu up jt sd jt kenakan pajak kalo up jt sd jt kenakan pajak kalo up jt sd jt kenakan pajak kalo jt sd jt kenakan pajak kalo jt sd milyar milayar kenakan pajak teknisnya gimana aku kasih gambaran jadi platform harus menyediakan harga modal dan harga jual disitu bisa ketemu berapa keuntungan laba bersih dikalkulasikan per jam dan dana modal laba keuntungan bisa ditarik setelah dipotong pajak oleh platform yang secara instant masuk ke kas negara yang bisa dilihat secara transparat bisa digunakan untuk pegan sampah seluruh indonesia bantu up ya penjual kecil terangkat ekonomi keluarganya kampungnya penjual besar mengangkat ekonomi negara sini ngopi sama aku wahai pembuat kebijakan kebijakan,yang tidak boleh itu harus nya artis publik pigur boleh pun harusnya kena kan pajak yang besar dari laba bersih kalau penjual kecil free ada penjualan laba bersih dibawah juta per hari biar kan free pajak kalau up juta sd juta kenakan pajak kalo up juta sd juta kenakan pajak kalo up juta sd juta kenakan pajak kalo juta sd juta kenakan pajak kalo juta sd milyar milayar kenakan pajak teknisnya bagaimana aku kasih gambaran jadi platform harus menyediakan harga modal dan harga jual disitu bisa ketemu berapa keuntungan laba bersih dikalkulasikan per jam dan dana modal laba keuntungan bisa ditarik setelah dipotong pajak oleh platform yang secara instant masuk ke kas negara yang bisa dilihat secara transparat bisa digunakan untuk pegan sampah seluruh indonesia bantu up ya penjual kecil terangkat ekonomi keluarganya kampungnya penjual besar mengangkat ekonomi negara sini ngopi sama aku wahai pembuat kebijakan kebijakan,"['yang', 'tidak', 'boleh', 'itu', 'harus', 'nya', 'artis', 'publik', 'pigur', 'boleh', 'pun', 'harusnya', 'kena', 'kan', 'pajak', 'yang', 'besar', 'dari', 'laba', 'bersih', 'kalau', 'penjual', 'kecil', 'free', 'ada', 'penjualan', 'laba', 'bersih', 'dibawah', 'juta', 'per', 'hari', 'biar', 'kan', 'free', 'pajak', 'kalau', 'up', 'juta', 'sd', 'juta', 'kenakan', 'pajak', 'kalo', 'up', 'juta', 'sd', 'juta', 'kenakan', 'pajak', 'kalo', 'up', 'juta', 'sd', 'juta', 'kenakan', 'pajak', 'kalo', 'juta', 'sd', 'juta', 'kenakan', 'pajak', 'kalo', 'juta', 'sd', 'milyar', 'milayar', 'kenakan', 'pajak', 'teknisnya', 'bagaimana', 'aku', 'kasih', 'gambaran', 'jadi', 'platform', 'harus', 'menyediakan', 'harga', 'modal', 'dan', 'harga', 'jual', 'disitu', 'bisa', 'ketemu', 'berapa', 'keuntungan', 'laba', 'bersih', 'dikalkulasikan', 'per', 'jam', 'dan', 'dana', 'modal', 'laba', 'keuntungan', 'bisa', 'ditarik', 'setelah', 'dipotong', 'pajak', 'oleh', 'platform', 'yang', 'secara', 'instant', 'masuk', 'ke', 'kas', 'negara', 'yang', 'bisa', 'dilihat', 'secara', 'transparat', 'bisa', 'digunakan', 'untuk', 'pegan', 'sampah', 'seluruh', 'indonesia', 'bantu', 'up', 'ya', 'penjual', 'kecil', 'terangkat', 'ekonomi', 'keluarganya', 'kampungnya', 'penjual', 'besar', 'mengangkat', 'ekonomi', 'negara', 'sini', 'ngopi', 'sama', 'aku', 'wahai', 'pembuat', 'kebijakan', 'kebijakan']",yang tidak boleh itu harus nya artis publik pigur boleh pun harus kena kan pajak yang besar dari laba bersih kalau jual kecil free ada jual laba bersih bawah juta per hari biar kan free pajak kalau up juta sd juta kena pajak kalo up juta sd juta kena pajak kalo up juta sd juta kena pajak kalo juta sd juta kena pajak kalo juta sd milyar milayar kena pajak teknis bagaimana aku kasih gambar jadi platform harus sedia harga modal dan harga jual situ bisa ketemu berapa untung laba bersih kalkulasi per jam dan dana modal laba untung bisa tarik telah potong pajak oleh platform yang cara instant masuk ke kas negara yang bisa lihat cara transparat bisa guna untuk pegan sampah seluruh indonesia bantu up ya jual kecil angkat ekonomi keluarga kampung jual besar angkat ekonomi negara sini ngopi sama aku wahai buat bijak bijak,27,positif
2727,baru ka naiak awak alah baulah pulo umkm sebenarnya tidak ada sangkut paut belanja online dengan umkm karena online itu yang beli bukan di tanah abg aja atau pasar pasar besar indonesia saya loh orang plosok ujung kulon kayak mana mau ke tanah beli nya ya harus di tiktok shop lah untuk usaha saya untuk kebutuhan sehari hari juga di tiktok shop umkm tolong batu juga orang plosok seperti saya ini jangan orang tanah abg aja yg dikasihani penghasilan jt perhari jadi jt katanaya itukan bukan sedikit saya aja cuma rb untung sehari udah bersyukur usaha saya sekarang bergantung kepada tik tok shop bukan saya saja mungkin orang plosok lain nya juga begitu jadi untuk umkm berlaku lah seadil adilnya,baru kak naiak awak alah baulah pulo umkm sebenarnya tidak ada sangkut paut belanja online dengan umkm karena online itu yang beli bukan di tanah abang saja atau pasar pasar besar indonesia saya loh orang plosok ujung kulon kayak mana mau ke tanah beli nya ya harus di tiktok shop lah untuk usaha saya untuk kebutuhan sehari hari juga di tiktok shop umkm tolong batu juga orang plosok seperti saya ini jangan orang tanah abang saja yang dikasihani penghasilan juta perhari jadi juta katanaya itukan bukan sedikit saya saja cuma ribu untung sehari sudah bersyukur usaha saya sekarang bergantung kepada tik tok shop bukan saya saja mungkin orang plosok lain nya juga begitu jadi untuk umkm berlaku lah seadil adilnya,"['baru', 'kak', 'naiak', 'awak', 'alah', 'baulah', 'pulo', 'umkm', 'sebenarnya', 'tidak', 'ada', 'sangkut', 'paut', 'belanja', 'online', 'dengan', 'umkm', 'karena', 'online', 'itu', 'yang', 'beli', 'bukan', 'di', 'tanah', 'abang', 'saja', 'atau', 'pasar', 'pasar', 'besar', 'indonesia', 'saya', 'loh', 'orang', 'plosok', 'ujung', 'kulon', 'kayak', 'mana', 'mau', 'ke', 'tanah', 'beli', 'nya', 'ya', 'harus', 'di', 'tiktok', 'shop', 'lah', 'untuk', 'usaha', 'saya', 'untuk', 'kebutuhan', 'sehari', 'hari', 'juga', 'di', 'tiktok', 'shop', 'umkm', 'tolong', 'batu', 'juga', 'orang', 'plosok', 'seperti', 'saya', 'ini', 'jangan', 'orang', 'tanah', 'abang', 'saja', 'yang', 'dikasihani', 'penghasilan', 'juta', 'perhari', 'jadi', 'juta', 'katanaya', 'itukan', 'bukan', 'sedikit', 'saya', 'saja', 'cuma', 'ribu', 'untung', 'sehari', 'sudah', 'bersyukur', 'usaha', 'saya', 'sekarang', 'bergantung', 'kepada', 'tik', 'tok', 'shop', 'bukan', 'saya', 'saja', 'mungkin', 'orang', 'plosok', 'lain', 'nya', 'juga', 'begitu', 'jadi', 'untuk', 'umkm', 'berlaku', 'lah', 'seadil', 'adilnya']",baru kak naiak awak alah bau pulo umkm benar tidak ada sangkut paut belanja online dengan umkm karena online itu yang beli bukan di tanah abang saja atau pasar pasar besar indonesia saya loh orang plosok ujung kulon kayak mana mau ke tanah beli nya ya harus di tiktok shop lah untuk usaha saya untuk butuh hari hari juga di tiktok shop umkm tolong batu juga orang plosok seperti saya ini jangan orang tanah abang saja yang kasihan hasil juta hari jadi juta katanaya itu bukan sedikit saya saja cuma ribu untung hari sudah syukur usaha saya sekarang gantung kepada tik tok shop bukan saya saja mungkin orang plosok lain nya juga begitu jadi untuk umkm laku lah adil adil,-38,negatif
2728,akan segera hadir tiktok shop,akan segera hadir tiktok shop,"['akan', 'segera', 'hadir', 'tiktok', 'shop']",akan segera hadir tiktok shop,5,positif
2729,teg aja pasti buka kok ketika kamu buat akun harus ada npwp dan wajib bayar pajak kayak shopee toped oke sanusi dan pendapatan akan dikenai pajak aplikasi yang besar,teg saja pasti buka kok ketika kamu buat akun harus ada npwp dan wajib bayar pajak kayak shopee toped oke sanusi dan pendapatan akan dikenai pajak aplikasi yang besar,"['teg', 'saja', 'pasti', 'buka', 'kok', 'ketika', 'kamu', 'buat', 'akun', 'harus', 'ada', 'npwp', 'dan', 'wajib', 'bayar', 'pajak', 'kayak', 'shopee', 'toped', 'oke', 'sanusi', 'dan', 'pendapatan', 'akan', 'dikenai', 'pajak', 'aplikasi', 'yang', 'besar']",teg saja pasti buka kok ketika kamu buat akun harus ada npwp dan wajib bayar pajak kayak shopee toped oke sanusi dan dapat akan kena pajak aplikasi yang besar,-11,negatif
2730,masih ada shope live,masih ada shope live,"['masih', 'ada', 'shope', 'live']",masih ada shope live,7,positif
2731,kenapa tidak aplikasi nya aja yang di hapus sekalian tik ok merusak generasi muda sampe yang udah bangkotan,kenapa tidak aplikasi nya saja yang di hapus sekalian tik ok merusak generasi muda sampai yang sudah bangkotan,"['kenapa', 'tidak', 'aplikasi', 'nya', 'saja', 'yang', 'di', 'hapus', 'sekalian', 'tik', 'ok', 'merusak', 'generasi', 'muda', 'sampai', 'yang', 'sudah', 'bangkotan']",kenapa tidak aplikasi nya saja yang di hapus sekali tik ok rusak generasi muda sampai yang sudah bangkot,-23,negatif
2732,saya tetep beli secara online persetan dengan umkm yang harga nya mahal,saya tetap beli secara online persetan dengan umkm yang harga nya mahal,"['saya', 'tetap', 'beli', 'secara', 'online', 'persetan', 'dengan', 'umkm', 'yang', 'harga', 'nya', 'mahal']",saya tetap beli cara online persetan dengan umkm yang harga nya mahal,1,positif
2733,mantap mereka memang serakah walau sudah dapet banyak tanpa memikirkan orang tua berdagang laku baju di pasar untuk sehari makan okelah anak muda masih bisa bersaing nah pedagang tua bagaimana jadi lebih baik ditutup,mantap mereka memang serakah walau sudah dapat banyak tanpa memikirkan orang tua berdagang laku baju di pasar untuk sehari makan okelah anak muda masih bisa bersaing nah pedagang tua bagaimana jadi lebih baik ditutup,"['mantap', 'mereka', 'memang', 'serakah', 'walau', 'sudah', 'dapat', 'banyak', 'tanpa', 'memikirkan', 'orang', 'tua', 'berdagang', 'laku', 'baju', 'di', 'pasar', 'untuk', 'sehari', 'makan', 'okelah', 'anak', 'muda', 'masih', 'bisa', 'bersaing', 'nah', 'pedagang', 'tua', 'bagaimana', 'jadi', 'lebih', 'baik', 'ditutup']",mantap mereka memang serakah walau sudah dapat banyak tanpa pikir orang tua dagang laku baju di pasar untuk hari makan oke anak muda masih bisa saing nah dagang tua bagaimana jadi lebih baik tutup,10,positif
2735,pantesan pas mau belanja di tt shop tidak ada padahal murah harganya,pantesan pas mau belanja di tt shop tidak ada padahal murah harganya,"['pantesan', 'pas', 'mau', 'belanja', 'di', 'tt', 'shop', 'tidak', 'ada', 'padahal', 'murah', 'harganya']",pantesan pas mau belanja di tt shop tidak ada padahal murah harga,11,positif
2736,baru aja kemarin henset bloutout dengan harga live promo cuman ribu eh sekarang tutup,baru saja kemarin henset bloutout dengan harga live promo cuman ribu eh sekarang tutup,"['baru', 'saja', 'kemarin', 'henset', 'bloutout', 'dengan', 'harga', 'live', 'promo', 'cuman', 'ribu', 'eh', 'sekarang', 'tutup']",baru saja kemarin henset bloutout dengan harga live promo cuman ribu eh sekarang tutup,4,positif
2738,kenapa hanya tiktokshop aja bung bagaimana dengan lazada shope bli bli dan kawan kalau ingin memikirkan rakyat ya tutup aja semua olshop sekalian biar orang pada belanja ke pasar tradisional percuma tiktokshop di tutup kalo olshop lain masih di perbolehkan tidak ngaruh,kenapa hanya tiktokshop saja bung bagaimana dengan lazada shope beli beli dan kawan kalau ingin memikirkan rakyat ya tutup saja semua olshop sekalian biar orang pada belanja ke pasar tradisional percuma tiktokshop di tutup kalo olshop lain masih di perbolehkan tidak ngaruh,"['kenapa', 'hanya', 'tiktokshop', 'saja', 'bung', 'bagaimana', 'dengan', 'lazada', 'shope', 'beli', 'beli', 'dan', 'kawan', 'kalau', 'ingin', 'memikirkan', 'rakyat', 'ya', 'tutup', 'saja', 'semua', 'olshop', 'sekalian', 'biar', 'orang', 'pada', 'belanja', 'ke', 'pasar', 'tradisional', 'percuma', 'tiktokshop', 'di', 'tutup', 'kalo', 'olshop', 'lain', 'masih', 'di', 'perbolehkan', 'tidak', 'ngaruh']",kenapa hanya tiktokshop saja bung bagaimana dengan lazada shope beli beli dan kawan kalau ingin pikir rakyat ya tutup saja semua olshop sekali biar orang pada belanja ke pasar tradisional percuma tiktokshop di tutup kalo olshop lain masih di boleh tidak ngaruh,-17,negatif
2739,ya sepi umkm tetap sepi karena ada aplikasi belanja online yang bisa dipake,ya sepi umkm tetap sepi karena ada aplikasi belanja online yang bisa dipakai,"['ya', 'sepi', 'umkm', 'tetap', 'sepi', 'karena', 'ada', 'aplikasi', 'belanja', 'online', 'yang', 'bisa', 'dipakai']",ya sepi umkm tetap sepi karena ada aplikasi belanja online yang bisa pakai,-5,negatif
2740,ahh mending kamu balik aja pulang kampung nyusahin orang banyak gara gara lo dagang sepi sirik kamu minta tiktok shop di tutup,ah mending kamu balik saja pulang kampung menyusahkan orang banyak gara gara lo dagang sepi sirik kamu meminta tiktok shop di tutup,"['ah', 'mending', 'kamu', 'balik', 'saja', 'pulang', 'kampung', 'menyusahkan', 'orang', 'banyak', 'gara', 'gara', 'lo', 'dagang', 'sepi', 'sirik', 'kamu', 'meminta', 'tiktok', 'shop', 'di', 'tutup']",ah mending kamu balik saja pulang kampung susah orang banyak gara gara lo dagang sepi sirik kamu minta tiktok shop di tutup,-20,negatif
2741,banyak ada shopee lazada bli bli bukalapak,banyak ada shopee lazada beli beli bukalapak,"['banyak', 'ada', 'shopee', 'lazada', 'beli', 'beli', 'bukalapak']",banyak ada shopee lazada beli beli bukalapak,11,positif
2742,mending kamu benerin tuh jukir liar di tanah abang bejibun boss masuk lewat portal pake motor udah bayar tiket resmi parkir pas mau masuk parkiran di tagih lagi k yakali udah bayar resmi di tagib lagi nyoba parkir di luar pasar intinya di luar portal masuk tadi di tagih juga kwkwwk gimana mau ramai itu pasar pungli ae bejibun bikin orang males ke situ,mending kamu benerin tuh jukir liar di tanah abang bejibun bos masuk lewat portal pakai motor sudah bayar tiket resmi parkir pas mau masuk parkiran di tagih lagi ke yakali sudah bayar resmi di tagib lagi mencoba parkir di luar pasar intinya di luar portal masuk tadi di tagih juga kwkwwk bagaimana mau ramai itu pasar pungli saja bejibun bikin orang malas ke situ,"['mending', 'kamu', 'benerin', 'tuh', 'jukir', 'liar', 'di', 'tanah', 'abang', 'bejibun', 'bos', 'masuk', 'lewat', 'portal', 'pakai', 'motor', 'sudah', 'bayar', 'tiket', 'resmi', 'parkir', 'pas', 'mau', 'masuk', 'parkiran', 'di', 'tagih', 'lagi', 'ke', 'yakali', 'sudah', 'bayar', 'resmi', 'di', 'tagib', 'lagi', 'mencoba', 'parkir', 'di', 'luar', 'pasar', 'intinya', 'di', 'luar', 'portal', 'masuk', 'tadi', 'di', 'tagih', 'juga', 'kwkwwk', 'bagaimana', 'mau', 'ramai', 'itu', 'pasar', 'pungli', 'saja', 'bejibun', 'bikin', 'orang', 'malas', 'ke', 'situ']",mending kamu benerin tuh jukir liar di tanah abang bejibun bos masuk lewat portal pakai motor sudah bayar tiket resmi parkir pas mau masuk parkir di tagih lagi ke yakali sudah bayar resmi di tagib lagi coba parkir di luar pasar inti di luar portal masuk tadi di tagih juga kwkwwk bagaimana mau ramai itu pasar pungli saja bejibun bikin orang malas ke situ,7,positif
2743,jangan cuma tiktok shop yang ditututup shopee lazada tokped bnyak barang ampas yang tidak sesuai bahkan selama saya belanja di tiktok barang sama ongkir nya masih wajar ongkir dibawah ribu sedangkan shopee malah ongkir diatas ribu plus barang tidak sesuai,jangan cuma tiktok shop yang ditututup shopee lazada tokped banyak barang ampas yang tidak sesuai bahkan selama saya belanja di tiktok barang sama ongkir nya masih wajar ongkir dibawah ribu sedangkan shopee malah ongkir diatas ribu plus barang tidak sesuai,"['jangan', 'cuma', 'tiktok', 'shop', 'yang', 'ditututup', 'shopee', 'lazada', 'tokped', 'banyak', 'barang', 'ampas', 'yang', 'tidak', 'sesuai', 'bahkan', 'selama', 'saya', 'belanja', 'di', 'tiktok', 'barang', 'sama', 'ongkir', 'nya', 'masih', 'wajar', 'ongkir', 'dibawah', 'ribu', 'sedangkan', 'shopee', 'malah', 'ongkir', 'diatas', 'ribu', 'plus', 'barang', 'tidak', 'sesuai']",jangan cuma tiktok shop yang ditututup shopee lazada tokped banyak barang ampas yang tidak sesuai bahkan lama saya belanja di tiktok barang sama ongkir nya masih wajar ongkir bawah ribu sedang shopee malah ongkir atas ribu plus barang tidak sesuai,-21,negatif
2744,karena ada regulasi dan pajak kalau tiktokshop gada regulasi dan pajak nya karena mereka daftar sosial media bukan e commerse,karena ada regulasi dan pajak kalau tiktokshop enggak ada regulasi dan pajak nya karena mereka daftar sosial media bukan e commerse,"['karena', 'ada', 'regulasi', 'dan', 'pajak', 'kalau', 'tiktokshop', 'enggak', 'ada', 'regulasi', 'dan', 'pajak', 'nya', 'karena', 'mereka', 'daftar', 'sosial', 'media', 'bukan', 'e', 'commerse']",karena ada regulasi dan pajak kalau tiktokshop enggak ada regulasi dan pajak nya karena mereka daftar sosial media bukan e commerse,-3,negatif
2745,saya pedagang lokal karena ditutup tiktok shop saya jadi kena dampaknya juga,saya pedagang lokal karena ditutup tiktok shop saya jadi kena dampaknya juga,"['saya', 'pedagang', 'lokal', 'karena', 'ditutup', 'tiktok', 'shop', 'saya', 'jadi', 'kena', 'dampaknya', 'juga']",saya dagang lokal karena tutup tiktok shop saya jadi kena dampak juga,-16,negatif
2747,mantap pemerintah seklian blokir aja apk nya,mantap pemerintah sekalian blokir saja apk nya,"['mantap', 'pemerintah', 'sekalian', 'blokir', 'saja', 'apk', 'nya']",mantap perintah sekali blokir saja apk nya,-2,negatif
2748,kalau ditutup aplikasi belanja lain malah justru kemiski meningkat banyak pedagang online yang usahanya hancur konsumenpun susah nyari barang yang stoknya langka dipasar lokal dari hargapun e commerce lebih murah karena ada vocher gratis ongkir sama cashback yang menggiurkan,kalau ditutup aplikasi belanja lain malah justru kemiski meningkat banyak pedagang online yang usahanya hancur konsumenpun susah mencari barang yang stoknya langka dipasar lokal dari hargapun e commerce lebih murah karena ada vocher gratis ongkir sama cashback yang menggiurkan,"['kalau', 'ditutup', 'aplikasi', 'belanja', 'lain', 'malah', 'justru', 'kemiski', 'meningkat', 'banyak', 'pedagang', 'online', 'yang', 'usahanya', 'hancur', 'konsumenpun', 'susah', 'mencari', 'barang', 'yang', 'stoknya', 'langka', 'dipasar', 'lokal', 'dari', 'hargapun', 'e', 'commerce', 'lebih', 'murah', 'karena', 'ada', 'vocher', 'gratis', 'ongkir', 'sama', 'cashback', 'yang', 'menggiurkan']",kalau tutup aplikasi belanja lain malah justru kemiski tingkat banyak dagang online yang usaha hancur konsumen susah cari barang yang stok langka pasar lokal dari harga e commerce lebih murah karena ada vocher gratis ongkir sama cashback yang giur,-21,negatif
2749,tiktok shop di tutup game slot tidak di tutup,tiktok shop di tutup game slot tidak di tutup,"['tiktok', 'shop', 'di', 'tutup', 'game', 'slot', 'tidak', 'di', 'tutup']",tiktok shop di tutup game slot tidak di tutup,-7,negatif
2750,mudah mudahan youtube juga di tutup,mudah mudahan youtube juga di tutup,"['mudah', 'mudahan', 'youtube', 'juga', 'di', 'tutup']",mudah mudah youtube juga di tutup,6,positif
